lat,lon,fishing_hours
-12.1,-77.2,25602.996
-9.2,-78.6,18207.1005
-12.0,-77.2,13281.2787
-1.0,-80.8,13123.4836
-10.7,-81.8,1778.9934
-3.5,-85.2,1604.7659
-3.5,-85.3,1512.6184
-3.4,-85.3,1417.6019000000001
-10.6,-81.8,1417.3442
-3.5,-85.1,1336.83
-3.4,-85.2,1215.9304
-10.5,-81.9,1209.661
-3.3,-85.1,1196.98
-3.5,-85.4,1146.8781
-3.3,-85.2,1128.2448
-10.8,-81.8,1109.7625
-3.6,-85.3,1087.7297
-10.6,-81.9,1079.4933
-4.7,-85.5,1077.2504
-3.4,-85.1,1047.7519
-5.2,-85.2,1024.6463
-10.3,-82.0,976.0804
-1.0,-80.7,964.7588
-3.4,-85.4,958.7591
-5.3,-85.2,952.9823
-5.2,-85.3,911.4983
-2.7,-80.2,893.6394
-3.3,-81.0,858.2187
-10.2,-82.1,833.5120000000001
-3.6,-85.2,828.4876
-10.7,-81.9,816.4893
-10.8,-81.7,797.3611
-12.8,-81.7,782.7423
-3.6,-85.4,777.4098
-3.3,-85.3,774.5852
-4.9,-85.4,771.9491
-4.9,-85.5,769.6062000000001
-3.6,-85.1,768.4944
-4.8,-85.5,753.0694
-3.4,-84.8,749.8573
-9.1,-78.7,737.7168
-4.0,-85.9,733.8021
-19.3,-75.9,732.1688
-13.3,-76.9,728.7216
-3.1,-84.6,727.2512
-12.5,-77.0,725.0307
-5.1,-85.3,721.3369
-3.3,-85.4,715.2403
-13.2,-77.0,707.9878
-19.7,-76.0,705.5070000000001
-3.9,-85.9,703.8747
-19.8,-76.0,703.1853
-19.9,-76.0,701.4247
-5.0,-85.4,700.6607
-3.1,-84.7,684.4536
-5.1,-85.2,677.4188
-13.0,-77.0,670.5146
-19.8,-75.9,664.437
-3.1,-84.8,659.3504
-10.4,-82.0,657.628
-4.8,-85.4,655.2672
-19.5,-76.0,655.1537
-19.3,-76.0,653.8768
-19.2,-75.9,642.0764
-3.9,-86.0,641.2808
-19.6,-76.0,641.224
-13.2,-76.9,637.5544
-3.0,-84.7,636.2529
-3.1,-85.8,635.5825
-3.1,-85.9,632.3385
-2.6,-85.3,629.3794
-3.2,-84.7,625.1967
-3.0,-85.7,622.9791
-3.0,-85.6,613.0402
-3.7,-85.3,610.2453
-5.3,-85.3,607.8867
-4.0,-85.8,603.9757
-19.9,-75.7,602.2931
-19.6,-75.9,602.2547
-19.4,-75.9,600.7362
-19.7,-76.1,600.2696
-3.5,-84.7,600.1581
-4.7,-85.4,597.84
-3.5,-85.5,592.4696
-3.1,-85.7,587.5463
-11.3,-77.9,584.3023
-11.2,-77.8,583.7449
-12.6,-81.7,581.7849
-10.9,-81.8,581.3081
-10.4,-81.9,581.0979
-4.8,-85.6,577.8131999999999
-2.9,-85.5,576.1403
-19.4,-76.0,575.3488
-3.1,-84.9,572.2375
-3.4,-81.0,567.9618
-3.6,-85.5,567.914
-5.0,-85.5,567.3927
-19.7,-75.9,566.6370000000001
-3.5,-84.8,564.1517
-16.8,-79.5,563.3927
-3.2,-84.6,562.5903
-13.2,-76.8,557.9041
-3.0,-85.8,553.8974000000001
-2.5,-84.8,551.9753
-3.2,-85.1,550.0668
-3.2,-80.9,547.7175
-14.8,-82.1,545.6481
-2.9,-85.1,541.8005
-5.0,-85.6,539.463
-16.8,-79.4,538.6595
-2.3,-84.5,537.3947000000001
-6.1,-85.4,535.1181
-19.5,-75.9,534.9145
-3.4,-84.9,534.1741
-3.2,-81.0,533.3364
-10.2,-82.0,531.6625
-16.9,-79.5,529.6552
-16.9,-79.6,529.3115
-2.4,-84.8,528.8433
-5.1,-85.4,528.815
-19.1,-77.6,528.4394
-17.0,-79.5,527.2103
-3.4,-85.5,525.7613
-2.4,-84.5,525.7097
-13.3,-76.8,525.6887
-8.3,-79.4,524.7805
-20.0,-75.9,524.4224
-3.0,-84.8,522.1455
-16.0,-80.0,519.7509
-6.8,-80.9,517.8111
-16.8,-79.6,514.1978
-19.8,-76.1,513.5235
-11.2,-77.9,513.2977
-2.6,-85.4,512.866
-2.7,-85.1,511.8009
-3.5,-84.9,510.4394
-17.1,-79.4,510.3423
-12.0,-77.4,508.7883
-9.5,-78.8,508.622
-8.8,-79.0,505.993
-3.5,-85.0,505.3773
-17.0,-79.4,503.5979
-8.6,-79.2,502.8423
-2.6,-84.7,501.9795
-8.5,-79.4,501.2717
-12.0,-77.5,500.4998
-2.9,-85.4,500.3439
-13.1,-76.9,499.6055
-3.4,-84.7,499.5912
-2.9,-84.8,498.8995
-11.0,-77.9,498.1306
-2.8,-85.0,497.6972
-2.6,-85.0,496.4107
-13.5,-76.3,495.4884
-5.5,-84.7,494.5035
-10.5,-82.0,494.1787
-19.2,-76.0,493.9024
-2.5,-84.5,492.827
-6.1,-85.5,491.8307
-4.0,-86.0,491.7471
-9.3,-78.8,490.9039
-19.9,-75.4,490.8895
-4.1,-85.9,489.1084
-11.9,-77.5,485.1734
