detection_id,detection_date,structure_id,lon,lat,structure_start_date,structure_end_date,label,label_confidence
S1AB_AD_MEDIAN_COMP_20230201T000000_20230801T000000_FULL_76_TILE_118;-81.3718910;-4.7627780,2023-05-01,269443,-81.3717528042603,-4.76292085306057,2017-01-01,2023-12-01,oil,high
S1AB_AD_MEDIAN_COMP_20180503T000000_20181030T000000_WEST_40_TILE_118;-81.3717230;-4.7631280,2018-08-01,269443,-81.3717528042603,-4.76292085306057,2017-01-01,2023-12-01,oil,high
S1AB_AD_MEDIAN_COMP_20181003T000000_20190401T000000_WEST_40_TILE_118;-81.3716440;-4.7629570,2019-01-01,269443,-81.3717528042603,-4.76292085306057,2017-01-01,2023-12-01,oil,high
S1AB_AD_MEDIAN_COMP_20220201T000000_20220801T000000_FULL_76_TILE_118;-81.3716440;-4.7631370,2022-05-01,269443,-81.3717528042603,-4.76292085306057,2017-01-01,2023-12-01,oil,high
S1AB_AD_MEDIAN_COMP_20171103T000000_20180502T000000_WEST_40_TILE_118;-81.3717340;-4.7627780,2018-02-01,269443,-81.3717528042603,-4.76292085306057,2017-01-01,2023-12-01,oil,high
S1AB_AD_MEDIAN_COMP_20190503T000000_20191030T000000_WEST_40_TILE_118;-81.3717040;-4.7628780,2019-08-01,269443,-81.3717528042603,-4.76292085306057,2017-01-01,2023-12-01,oil,high
S1AB_AD_MEDIAN_COMP_20220701T000000_20230101T000000_FULL_76_TILE_118;-81.3716440;-4.7631370,2022-10-01,269443,-81.3717528042603,-4.76292085306057,2017-01-01,2023-12-01,oil,high
S1AB_AD_MEDIAN_COMP_20250701T000000_20260101T000000_FULL_76_TILE_118;-81.3691290;-4.4451340,2025-10-01,439221,-81.3691386504742,-4.44518955984771,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20200603T000000_20201130T000000_WEST_40_TILE_118;-81.3692080;-4.4451200,2020-09-01,439221,-81.3691386504742,-4.44518955984771,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20200303T000000_20200830T000000_WEST_40_TILE_118;-81.3692080;-4.4451200,2020-06-01,439221,-81.3691386504742,-4.44518955984771,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20240501T000000_20241101T000000_FULL_76_TILE_118;-81.3691290;-4.4451340,2024-08-01,439221,-81.3691386504742,-4.44518955984771,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20161103T000000_20170502T000000_WEST_40_TILE_118;-81.3692060;-4.4452360,2017-02-01,439221,-81.3691386504742,-4.44518955984771,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20200201T000000_20200730T000000_WEST_40_TILE_118;-81.3691960;-4.4451340,2020-05-01,439221,-81.3691386504742,-4.44518955984771,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20220101T000000_20220701T000000_FULL_76_TILE_118;-81.3690500;-4.4451200,2022-04-01,439221,-81.3691386504742,-4.44518955984771,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20170402T000000_20170929T000000_WEST_40_TILE_118;-81.3692190;-4.4452230,2017-07-01,439221,-81.3691386504742,-4.44518955984771,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20180131T000000_20180730T000000_WEST_40_TILE_118;-81.3654460;-4.4692980,2018-05-01,501470,-81.3654789012909,-4.46922212082401,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20180803T000000_20190130T000000_WEST_40_TILE_118;-81.3654680;-4.4692080,2018-11-01,501470,-81.3654789012909,-4.46922212082401,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20170603T000000_20171130T000000_WEST_40_TILE_118;-81.3616730;-4.4188130,2017-09-01,205487,-81.3616675705082,-4.41884067766035,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20180101T000000_20180630T000000_WEST_40_TILE_118;-81.3616730;-4.4188130,2018-04-01,205487,-81.3616675705082,-4.41884067766035,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20230201T000000_20230801T000000_FULL_76_TILE_118;-81.3616730;-4.4188130,2023-05-01,205487,-81.3616675705082,-4.41884067766035,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20180803T000000_20190130T000000_WEST_40_TILE_118;-81.3616730;-4.4188130,2018-11-01,205487,-81.3616675705082,-4.41884067766035,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20170303T000000_20170830T000000_WEST_40_TILE_118;-81.3616730;-4.4188130,2017-06-01,205487,-81.3616675705082,-4.41884067766035,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20170402T000000_20170929T000000_WEST_40_TILE_118;-81.3616730;-4.4188130,2017-07-01,205487,-81.3616675705082,-4.41884067766035,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20190101T000000_20190630T000000_WEST_40_TILE_118;-81.3616730;-4.4188130,2019-04-01,205487,-81.3616675705082,-4.41884067766035,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20250401T000000_20251001T000000_FULL_76_TILE_118;-81.3616730;-4.4188130,2025-07-01,205487,-81.3616675705082,-4.41884067766035,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20210303T000000_20210830T000000_WEST_40_TILE_118;-81.3582480;-4.4336480,2021-06-01,440853,-81.3582345895415,-4.43365513109665,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20190101T000000_20190630T000000_WEST_40_TILE_118;-81.3582590;-4.4337250,2019-04-01,440853,-81.3582345895415,-4.43365513109665,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20240601T000000_20241201T000000_FULL_76_TILE_118;-81.3582700;-4.4336220,2024-09-01,440853,-81.3582345895415,-4.43365513109665,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20230301T000000_20230901T000000_FULL_76_TILE_118;-81.3582480;-4.4336480,2023-06-01,440853,-81.3582345895415,-4.43365513109665,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20170131T000000_20170730T000000_WEST_40_TILE_118;-81.3582480;-4.4336480,2017-05-01,440853,-81.3582345895415,-4.43365513109665,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20250301T000000_20250901T000000_FULL_76_TILE_118;-81.3582700;-4.4336220,2025-06-01,440853,-81.3582345895415,-4.43365513109665,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20240901T000000_20250301T000000_FULL_76_TILE_118;-81.3582590;-4.4335450,2024-12-01,440853,-81.3582345895415,-4.43365513109665,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20170101T000000_20170630T000000_WEST_40_TILE_118;-81.3582720;-4.4337120,2017-04-01,440853,-81.3582345895415,-4.43365513109665,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20240501T000000_20241101T000000_FULL_76_TILE_118;-81.3582590;-4.4335450,2024-08-01,440853,-81.3582345895415,-4.43365513109665,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20180303T000000_20180830T000000_WEST_40_TILE_118;-81.3521510;-4.4459420,2018-06-01,119127,-81.3522084704645,-4.445904011345659,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20230801T000000_20240201T000000_FULL_76_TILE_118;-81.3521400;-4.4458650,2023-11-01,119127,-81.3522084704645,-4.445904011345659,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20190303T000000_20190830T000000_WEST_40_TILE_118;-81.3521640;-4.4459290,2019-06-01,119127,-81.3522084704645,-4.445904011345659,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20240501T000000_20241101T000000_FULL_76_TILE_118;-81.3521510;-4.4459420,2024-08-01,119127,-81.3522084704645,-4.445904011345659,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20221101T000000_20230501T000000_FULL_76_TILE_118;-81.3521510;-4.4459420,2023-02-01,119127,-81.3522084704645,-4.445904011345659,2017-01-01,,oil,high
,2026-01-01,119127,-81.3522084704645,-4.445904011345659,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20200201T000000_20200730T000000_WEST_40_TILE_118;-81.3521510;-4.4459420,2020-05-01,119127,-81.3522084704645,-4.445904011345659,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20230501T000000_20231101T000000_FULL_76_TILE_118;-81.3521640;-4.4459290,2023-08-01,119127,-81.3522084704645,-4.445904011345659,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20161103T000000_20170502T000000_WEST_40_TILE_118;-81.3518040;-4.4804500,2017-02-01,242063,-81.351775684162,-4.48045854303421,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20200503T000000_20201030T000000_WEST_40_TILE_118;-81.3517910;-4.4804370,2020-08-01,242063,-81.351775684162,-4.48045854303421,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20220501T000000_20221101T000000_FULL_76_TILE_118;-81.3517910;-4.4804370,2022-08-01,242063,-81.351775684162,-4.48045854303421,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20161201T000000_20170530T000000_WEST_40_TILE_118;-81.3518040;-4.4804500,2017-03-01,242063,-81.351775684162,-4.48045854303421,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20171201T000000_20180530T000000_WEST_40_TILE_118;-81.3517910;-4.4804370,2018-03-01,242063,-81.351775684162,-4.48045854303421,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20200902T000000_20210301T000000_WEST_40_TILE_118;-81.3517910;-4.4805270,2020-12-01,242063,-81.351775684162,-4.48045854303421,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20260201T000000_20260801T000000_FULL_76_TILE_118;-81.3495460;-4.4651660,2026-05-01,438718,-81.3495350827629,-4.465154557110528,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20161201T000000_20170530T000000_WEST_40_TILE_118;-81.3496230;-4.4651530,2017-03-01,438718,-81.3495350827629,-4.465154557110528,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20200303T000000_20200830T000000_WEST_40_TILE_118;-81.3496350;-4.4651660,2020-06-01,438718,-81.3495350827629,-4.465154557110528,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20210801T000000_20220201T000000_WEST_40_TILE_118;-81.3414010;-4.4365700,2021-11-01,61943,-81.3414587580279,-4.43693720848975,2017-01-01,,oil,high
S1AB_AD_MEDIAN_COMP_20180402T000000_20180929T000000_WEST_40_TILE_118;-81.3415380;-4.4369720,2018-07-01,61943,-81.3414587580279,-4.43693720848975,2017-01-01,,oil,high
,2021-01-01,61943,-81.3414587580279,-4.43693720848975,2017-01-01,,oil,high
